date,POP,LFC,LFPART,RUC,EMPLOY,H,HG,HS
1939:01,,,,,,,,
1939:02,,,,,,,,
1939:03,,,,,,,,
1939:04,,,,,,,,
1939:05,,,,,,,,
1939:06,,,,,,,,
1939:07,,,,,,,,
1939:08,,,,,,,,
1939:09,,,,,,,,
1939:10,,,,,,,,
1939:11,,,,,,,,
1939:12,,,,,,,,
1940:01,,,,,,,,
1940:02,,,,,,,,
1940:03,,,,,,,,
1940:04,,,,,,,,
1940:05,,,,,,,,
1940:06,,,,,,,,
1940:07,,,,,,,,
1940:08,,,,,,,,
1940:09,,,,,,,,
1940:10,,,,,,,,
1940:11,,,,,,,,
1940:12,,,,,,,,
1941:01,,,,,,,,
1941:02,,,,,,,,
1941:03,,,,,,,,
1941:04,,,,,,,,
1941:05,,,,,,,,
1941:06,,,,,,,,
1941:07,,,,,,,,
1941:08,,,,,,,,
1941:09,,,,,,,,
1941:10,,,,,,,,
1941:11,,,,,,,,
1941:12,,,,,,,,
1942:01,,,,,,,,
1942:02,,,,,,,,
1942:03,,,,,,,,
1942:04,,,,,,,,
1942:05,,,,,,,,
1942:06,,,,,,,,
1942:07,,,,,,,,
1942:08,,,,,,,,
1942:09,,,,,,,,
1942:10,,,,,,,,
1942:11,,,,,,,,
1942:12,,,,,,,,
1943:01,,,,,,,,
1943:02,,,,,,,,
1943:03,,,,,,,,
1943:04,,,,,,,,
1943:05,,,,,,,,
1943:06,,,,,,,,
1943:07,,,,,,,,
1943:08,,,,,,,,
1943:09,,,,,,,,
1943:10,,,,,,,,
1943:11,,,,,,,,
1943:12,,,,,,,,
1944:01,,,,,,,,
1944:02,,,,,,,,
1944:03,,,,,,,,
1944:04,,,,,,,,
1944:05,,,,,,,,
1944:06,,,,,,,,
1944:07,,,,,,,,
1944:08,,,,,,,,
1944:09,,,,,,,,
1944:10,,,,,,,,
1944:11,,,,,,,,
1944:12,,,,,,,,
1945:01,,,,,,,,
1945:02,,,,,,,,
1945:03,,,,,,,,
1945:04,,,,,,,,
1945:05,,,,,,,,
1945:06,,,,,,,,
1945:07,,,,,,,,
1945:08,,,,,,,,
1945:09,,,,,,,,
1945:10,,,,,,,,
1945:11,,,,,,,,
1945:12,,,,,,,,
1946:01,,,,,,,,
1946:02,,,,,,,,
1946:03,,,,,,,,
1946:04,,,,,,,,
1946:05,,,,,,,,
1946:06,,,,,,,,
1946:07,,,,,,,,
1946:08,,,,,,,,
1946:09,,,,,,,,
1946:10,,,,,,,,
1946:11,,,,,,,,
1946:12,,,,,,,,
1947:01,,,,,43535.0,,93.9,
1947:02,,,,,43557.0,,94.1,
1947:03,,,,,43607.0,,94.7,
1947:04,,,,,43499.0,,94.2,
1947:05,,,,,43638.0,,94.0,
1947:06,,,,,43810.0,,93.7,
1947:07,,,,,43743.0,,92.3,
1947:08,,,,,43960.0,,92.6,
1947:09,,,,,44203.0,,94.0,
1947:10,,,,,44411.0,,94.3,
1947:11,,,,,44484.0,,94.7,
1947:12,,,,,44581.0,,95.7,
1948:01,102603.0,60095.0,58.5704,3.4,44679.0,,95.5,
1948:02,102698.0,60524.0,58.934,3.8,44533.0,,93.9,
1948:03,102771.0,60070.0,58.4503,4.0,44683.0,,95.2,
1948:04,102831.0,60677.0,59.0065,3.9,44379.0,,92.2,
1948:05,102923.0,59972.0,58.2688,3.5,44796.0,,93.9,
1948:06,102992.0,60957.0,59.1862,3.6,45034.0,,94.9,
1948:07,103216.0,61181.0,59.2747,3.6,45160.0,,94.2,
1948:08,103240.0,60806.0,58.8977,3.9,45178.0,,94.3,
1948:09,103291.0,60815.0,58.8773,3.8,45294.0,,94.8,
1948:10,103361.0,60646.0,58.674,3.7,45245.0,,93.4,
1948:11,103424.0,60702.0,58.6924,3.8,45192.0,,93.0,
1948:12,103468.0,61169.0,59.1188,4.0,45032.0,,91.9,
1949:01,103529.0,60771.0,58.6995,4.3,44668.0,,89.9,
1949:02,103559.0,61057.0,58.9587,4.7,44497.0,,89.4,
1949:03,103665.0,61073.0,58.9138,5.0,44240.0,,87.5,
1949:04,103739.0,61007.0,58.8082,5.3,44236.0,,86.3,
1949:05,103845.0,61259.0,58.9908,6.1,43984.0,,85.3,
1949:06,103930.0,60948.0,58.6433,6.2,43739.0,,83.9,
1949:07,104042.0,61301.0,58.9195,6.7,43531.0,,83.7,
1949:08,104121.0,61590.0,59.1523,6.8,43624.0,,84.0,
1949:09,104219.0,61633.0,59.138,6.6,43780.0,,84.4,
1949:10,104338.0,62185.0,59.5996,7.9,42942.0,,81.3,
1949:11,104421.0,62005.0,59.3798,6.4,43242.0,,82.6,
1949:12,104524.0,61908.0,59.2285,6.6,43522.0,,83.2,
1950:01,104619.0,61661.0,58.9386,6.5,43526.0,,83.9,
1950:02,104737.0,61687.0,58.897,6.4,43297.0,,83.0,
1950:03,104844.0,61604.0,58.7578,6.3,43954.0,,86.2,
1950:04,104943.0,62158.0,59.2302,5.8,44382.0,,88.5,
1950:05,105014.0,62083.0,59.1188,5.5,44718.0,,90.8,
1950:06,105104.0,62419.0,59.3878,5.4,45083.0,,92.6,
1950:07,105194.0,62121.0,59.0537,5.0,45454.0,,94.1,
1950:08,105282.0,62596.0,59.4556,4.5,46192.0,,97.6,
1950:09,105269.0,62349.0,59.2283,4.4,46438.0,,96.8,
1950:10,105096.0,62428.0,59.4009,4.2,46706.0,,98.5,
1950:11,104979.0,62286.0,59.3319,4.2,46776.0,,99.3,
1950:12,104872.0,62068.0,59.1845,4.3,46861.0,,98.5,
1951:01,104844.0,61941.0,59.0792,3.7,47288.0,,99.9,
1951:02,104604.0,61778.0,59.0589,3.4,47577.0,,99.9,
1951:03,104629.0,62526.0,59.7597,3.4,47873.0,,100.4,
1951:04,104541.0,61808.0,59.1232,3.1,47861.0,,101.2,
1951:05,104491.0,62044.0,59.3774,3.0,47952.0,,101.1,
1951:06,104488.0,61615.0,58.9685,3.2,48064.0,,100.5,
1951:07,104504.0,62106.0,59.4293,3.1,48061.0,,99.7,
1951:08,104536.0,61927.0,59.2399,3.1,48012.0,,98.8,
1951:09,104588.0,61780.0,59.0699,3.3,47954.0,,98.2,
1951:10,104690.0,62204.0,59.4173,3.5,48006.0,,97.8,
1951:11,104740.0,62014.0,59.2076,3.5,48147.0,,97.7,
1951:12,104810.0,62457.0,59.5907,3.1,48314.0,,98.8,
1952:01,104862.0,62432.0,59.5373,3.2,48296.0,,99.3,
1952:02,104868.0,62419.0,59.5215,3.1,48522.0,,99.8,
1952:03,104860.0,61721.0,58.8604,2.9,48504.0,,98.9,
1952:04,104906.0,61720.0,58.8336,2.9,48620.0,,98.3,
1952:05,104996.0,62058.0,59.1051,3.0,48642.0,,98.2,
1952:06,105118.0,62103.0,59.0793,3.0,48282.0,,96.2,
1952:07,105246.0,61962.0,58.8735,3.2,48143.0,,94.6,
1952:08,105346.0,61877.0,58.7369,3.4,48924.0,,99.5,
1952:09,105436.0,62457.0,59.2369,3.1,49320.0,,102.0,
1952:10,105591.0,61971.0,58.6897,3.0,49597.0,,102.3,
1952:11,105706.0,62491.0,59.1177,2.8,49816.0,,103.5,
1952:12,105812.0,62621.0,59.1814,2.7,50166.0,,104.5,
1953:01,106594.0,63439.0,59.5146,2.9,50144.0,,104.2,
1953:02,106678.0,63520.0,59.5437,2.6,50339.0,,104.8,
1953:03,106744.0,63657.0,59.6352,2.6,50473.0,,105.5,
1953:04,106826.0,63167.0,59.1307,2.7,50435.0,,104.6,
1953:05,106910.0,62615.0,58.568,2.5,50490.0,,104.8,
1953:06,106978.0,63063.0,58.9495,2.5,50519.0,,104.7,
1953:07,107034.0,63057.0,58.9131,2.6,50536.0,,104.0,
1953:08,107132.0,62816.0,58.6342,2.7,50489.0,,103.6,
1953:09,107253.0,62727.0,58.4851,2.9,50368.0,,101.3,
1953:10,107383.0,62867.0,58.5446,3.1,50240.0,,100.6,
1953:11,107504.0,62949.0,58.555,3.5,49908.0,,98.8,
1953:12,107623.0,62795.0,58.3472,4.5,49703.0,,96.9,
1954:01,107763.0,63101.0,58.5553,4.9,49469.0,,94.7,
1954:02,107880.0,63994.0,59.3196,5.2,49382.0,,95.5,
1954:03,107987.0,63793.0,59.0747,5.7,49157.0,,94.5,
1954:04,108080.0,63934.0,59.1543,5.9,49179.0,,93.6,
1954:05,108184.0,63675.0,58.8581,5.9,48965.0,,92.9,
1954:06,108267.0,63343.0,58.5063,5.6,48895.0,,92.7,
1954:07,108344.0,63302.0,58.4269,5.8,48835.0,,92.0,
1954:08,108440.0,63707.0,58.7486,6.0,48826.0,,91.8,
1954:09,108546.0,64209.0,59.1537,6.1,48886.0,,92.0,
1954:10,108668.0,63936.0,58.8361,5.7,48942.0,,91.6,
1954:11,108798.0,63759.0,58.6031,5.3,49180.0,,93.7,
1954:12,108892.0,63312.0,58.142,5.0,49331.0,,93.8,
1955:01,109059.0,63910.0,58.6013,4.9,49496.0,,94.8,
1955:02,109078.0,63696.0,58.3949,4.7,49644.0,,95.4,
1955:03,109254.0,63882.0,58.4711,4.6,49962.0,,97.5,
1955:04,109377.0,64564.0,59.0289,4.7,50248.0,,98.1,
1955:05,109544.0,64381.0,58.7718,4.3,50512.0,,99.7,
1955:06,109680.0,64482.0,58.791,4.2,50790.0,,99.5,
1955:07,109792.0,65145.0,59.3349,4.0,50987.0,,99.7,
1955:08,109882.0,65581.0,59.6831,4.2,51111.0,,99.7,
1955:09,109977.0,65628.0,59.6743,4.1,51266.0,,99.7,
1955:10,110085.0,65821.0,59.7911,4.3,51429.0,,100.3,
1955:11,110177.0,66037.0,59.9372,4.2,51592.0,,100.9,
1955:12,110296.0,66445.0,60.2424,4.2,51805.0,,101.2,
1956:01,110390.0,66419.0,60.1676,4.0,51975.0,,101.0,
1956:02,110478.0,66124.0,59.8526,3.9,52167.0,,101.0,
1956:03,110582.0,66175.0,59.8425,4.2,52294.0,,99.9,
1956:04,110650.0,66264.0,59.8861,4.0,52375.0,,100.8,
1956:05,110810.0,66722.0,60.213,4.3,52506.0,,100.5,
1956:06,110903.0,66702.0,60.1445,4.3,52586.0,,100.7,
1956:07,111019.0,66752.0,60.1266,4.4,51955.0,,97.3,
1956:08,111099.0,66673.0,60.0122,4.1,52631.0,,100.3,
1956:09,111222.0,66714.0,59.9827,3.9,52604.0,,100.4,
1956:10,111335.0,66546.0,59.771,3.9,52777.0,,101.1,
1956:11,111432.0,66657.0,59.8185,4.3,52821.0,,100.5,
1956:12,111526.0,66700.0,59.8067,4.2,52929.0,,100.8,
1957:01,111626.0,66428.0,59.5094,4.2,52887.0,,99.3,
1957:02,111711.0,66879.0,59.8679,3.9,53097.0,,100.9,
1957:03,111824.0,66913.0,59.8378,3.7,53156.0,,100.3,
1957:04,111933.0,66647.0,59.5419,3.9,53238.0,,98.9,
1957:05,112031.0,66695.0,59.5326,4.1,53150.0,,98.2,
1957:06,112172.0,67052.0,59.7761,4.3,53067.0,,98.1,
1957:07,112317.0,67336.0,59.9517,4.2,53123.0,,97.7,
1957:08,112421.0,66706.0,59.3359,4.1,53128.0,,97.6,
1957:09,112554.0,67064.0,59.5838,4.4,52934.0,,95.9,
1957:10,112710.0,67066.0,59.5031,4.5,52763.0,,94.5,
1957:11,112874.0,67123.0,59.4672,5.1,52558.0,,92.8,
1957:12,113013.0,67398.0,59.6374,5.2,52384.0,,91.8,
1958:01,113138.0,67095.0,59.3037,5.8,52076.0,,90.4,
1958:02,113234.0,67201.0,59.347,6.4,51576.0,,87.0,
1958:03,113337.0,67223.0,59.3125,6.7,51299.0,,87.0,
1958:04,113415.0,67647.0,59.6455,7.4,51027.0,,86.0,
1958:05,113534.0,67895.0,59.8015,7.4,50914.0,,85.5,
1958:06,113647.0,67674.0,59.5475,7.3,50914.0,,85.6,
1958:07,113727.0,67824.0,59.6376,7.5,51039.0,,86.1,
1958:08,113835.0,68037.0,59.7681,7.4,51233.0,,87.1,
1958:09,113977.0,68002.0,59.6629,7.1,51506.0,,88.4,
1958:10,114138.0,68045.0,59.6164,6.7,51485.0,,87.9,
1958:11,114283.0,67658.0,59.2022,6.2,51944.0,,90.8,
1958:12,114429.0,67740.0,59.1983,6.2,52085.0,,90.0,
1959:01,114582.0,67936.0,59.2903,6.0,52478.0,,92.3,
1959:02,114712.0,67649.0,58.9729,5.9,52688.0,,92.3,
1959:03,114849.0,68068.0,59.2674,5.6,53014.0,,94.1,
1959:04,114986.0,68339.0,59.4325,5.2,53321.0,,95.7,
1959:05,115144.0,68178.0,59.2111,5.1,53550.0,,96.6,
1959:06,115287.0,68278.0,59.2244,5.0,53681.0,,96.8,
1959:07,115429.0,68539.0,59.3776,5.1,53804.0,,96.2,
1959:08,115555.0,68432.0,59.2203,5.2,53336.0,,93.4,
1959:09,115668.0,68545.0,59.2601,5.5,53428.0,,93.4,
1959:10,115798.0,68821.0,59.4319,5.7,53358.0,,91.6,
1959:11,115916.0,68533.0,59.123,5.8,53634.0,,92.6,
1959:12,116040.0,68994.0,59.4571,5.3,54174.0,,95.3,
1960:01,116594.0,68962.0,59.1471,5.2,54274.0,,96.1,
1960:02,116702.0,68949.0,59.0812,4.8,54513.0,,95.7,
1960:03,116827.0,68399.0,58.5473,5.4,54454.0,,93.7,
1960:04,116910.0,69579.0,59.515,5.2,54813.0,,94.9,
1960:05,117033.0,69626.0,59.4926,5.1,54475.0,,94.0,
1960:06,117167.0,69934.0,59.6875,5.4,54348.0,,92.9,
1960:07,117281.0,69745.0,59.4683,5.5,54306.0,,92.7,
1960:08,117431.0,69841.0,59.4741,5.6,54272.0,,91.7,
1960:09,117521.0,70151.0,59.6923,5.5,54227.0,,90.7,
1960:10,117643.0,69884.0,59.4034,6.1,54142.0,,90.7,
1960:11,117829.0,70439.0,59.7807,6.1,53961.0,,88.9,
1960:12,118001.0,70395.0,59.6563,6.6,53742.0,,85.0,
1961:01,118155.0,70447.0,59.6225,6.6,53683.0,,87.7,
1961:02,118250.0,70420.0,59.5518,6.9,53557.0,,87.1,
1961:03,118358.0,70703.0,59.7366,6.9,53659.0,,87.0,
1961:04,118503.0,70267.0,59.2955,7.0,53627.0,,87.0,
1961:05,118638.0,70452.0,59.384,7.1,53786.0,,87.9,
1961:06,118767.0,70878.0,59.6782,6.9,53977.0,,89.2,
1961:07,118889.0,70536.0,59.3293,7.0,54123.0,,89.5,
1961:08,119006.0,70534.0,59.2693,6.6,54298.0,,90.0,
1961:09,119107.0,70217.0,58.9529,6.7,54388.0,,88.8,
1961:10,119202.0,70492.0,59.1366,6.5,54522.0,,91.0,
1961:11,119153.0,70376.0,59.0636,6.1,54742.0,,92.2,
1961:12,119214.0,70077.0,58.7825,6.0,54872.0,,91.1,
1962:01,119300.0,70189.0,58.834,5.8,54891.0,,89.9,
1962:02,119360.0,70409.0,58.9888,5.5,55188.0,,92.3,
1962:03,119476.0,70414.0,58.9357,5.6,55275.0,,92.7,
1962:04,119702.0,70278.0,58.7108,5.6,55602.0,,93.5,
1962:05,119813.0,70551.0,58.8843,5.5,55628.0,,93.6,
1962:06,119943.0,70514.0,58.7896,5.5,55644.0,,92.7,
1962:07,120128.0,70302.0,58.5226,5.4,55746.0,,93.0,
1962:08,120323.0,70981.0,58.992,5.7,55838.0,,93.2,
1962:09,120653.0,71153.0,58.9733,5.6,55978.0,,93.5,
1962:10,120856.0,70917.0,58.6789,5.4,56041.0,,93.0,
1962:11,121045.0,70871.0,58.5493,5.7,56056.0,,93.1,
1962:12,121236.0,70854.0,58.443,5.5,56028.0,,91.6,
1963:01,121463.0,71146.0,58.5742,5.7,56115.0,,92.8,
1963:02,121633.0,71262.0,58.5877,5.9,56230.0,,92.3,
1963:03,121824.0,71423.0,58.628,5.7,56320.0,,92.6,
1963:04,121986.0,71697.0,58.7748,5.7,56580.0,,93.7,
1963:05,122162.0,71832.0,58.8006,5.9,56616.0,,94.1,
1963:06,122352.0,71626.0,58.5409,5.6,56659.0,,94.2,
1963:07,122521.0,71956.0,58.7295,5.6,56794.0,,94.3,
1963:08,122667.0,71786.0,58.521,5.4,56910.0,,94.3,
1963:09,122821.0,72131.0,58.7286,5.5,57078.0,,94.5,
1963:10,123014.0,72281.0,58.7584,5.5,57283.0,,95.0,
1963:11,123192.0,72418.0,58.7847,5.7,57255.0,,94.2,
1963:12,123360.0,72188.0,58.5182,5.5,57361.0,,93.9,
1964:01,123560.0,72356.0,58.5594,5.6,57487.0,50.8,92.4,39.3
1964:02,123707.0,72683.0,58.7542,5.4,57753.0,51.5,95.3,39.4
1964:03,123857.0,72713.0,58.7072,5.4,57897.0,51.5,95.1,39.4
1964:04,124019.0,73274.0,59.0829,5.3,57922.0,51.7,95.2,39.6
1964:05,124204.0,73395.0,59.0923,5.1,58089.0,51.9,95.6,39.6
1964:06,124386.0,73032.0,58.714,5.2,58219.0,52.0,96.2,39.7
1964:07,124567.0,73007.0,58.6086,4.9,58412.0,52.3,96.3,39.9
1964:08,124731.0,73118.0,58.6206,5.0,58619.0,52.3,96.9,39.9
1964:09,124920.0,73290.0,58.6695,5.1,58903.0,52.6,97.4,40.2
1964:10,125108.0,73308.0,58.5958,5.1,58793.0,52.4,96.0,40.2
1964:11,125291.0,73286.0,58.4926,4.8,59218.0,52.9,98.5,40.3
1964:12,125468.0,73465.0,58.5528,5.0,59421.0,53.3,99.1,40.4
1965:01,125647.0,73569.0,58.5521,4.9,59582.0,53.5,99.8,40.6
1965:02,125810.0,73857.0,58.7052,5.1,59800.0,53.6,99.7,40.7
1965:03,125985.0,73949.0,58.6967,4.7,60003.0,53.7,100.3,40.8
1965:04,126155.0,74228.0,58.8387,4.8,60259.0,54.0,100.2,41.2
1965:05,126320.0,74466.0,58.9503,4.6,60491.0,54.4,101.1,41.3
1965:06,126499.0,74412.0,58.8242,4.6,60690.0,54.3,101.0,41.2
1965:07,126573.0,74761.0,59.0655,4.4,60965.0,54.5,101.7,41.2
1965:08,126756.0,74616.0,58.8659,4.4,61228.0,54.6,102.0,41.4
1965:09,126906.0,74502.0,58.7064,4.3,61490.0,55.0,102.6,41.7
1965:10,127043.0,74838.0,58.9076,4.2,61719.0,55.0,103.1,41.7
1965:11,127171.0,74797.0,58.8161,4.1,61996.0,55.4,103.7,41.8
1965:12,127294.0,75093.0,58.9918,4.0,62322.0,55.7,104.8,42.0
1966:01,127394.0,75186.0,59.0185,4.0,62529.0,55.8,105.4,42.0
1966:02,127514.0,74954.0,58.781,3.8,62796.0,56.2,106.3,42.3
1966:03,127626.0,75075.0,58.8242,3.8,63192.0,56.5,107.4,42.3
1966:04,127744.0,75338.0,58.9758,3.8,63437.0,56.7,107.6,42.5
1966:05,127879.0,75447.0,58.9987,3.9,63712.0,56.6,107.0,42.5
1966:06,127983.0,75647.0,59.1071,3.8,64111.0,56.9,108.1,42.7
1966:07,128102.0,75736.0,59.1216,3.8,64301.0,56.9,107.9,42.7
1966:08,128240.0,76046.0,59.2998,3.8,64507.0,57.1,108.2,42.8
1966:09,128359.0,76056.0,59.2526,3.7,64643.0,57.0,107.8,42.9
1966:10,128494.0,76199.0,59.3016,3.7,64854.0,57.3,108.5,43.0
1966:11,128627.0,76610.0,59.5598,3.6,65019.0,57.2,107.9,43.1
1966:12,128730.0,76641.0,59.5362,3.8,65199.0,57.2,107.5,43.1
1967:01,128909.0,76639.0,59.452,3.9,65407.0,57.5,108.4,43.3
1967:02,129032.0,76521.0,59.3039,3.8,65429.0,56.8,105.6,43.2
1967:03,129190.0,76328.0,59.082,3.8,65530.0,56.8,105.6,43.2
1967:04,129344.0,76777.0,59.3588,3.8,65466.0,56.5,104.5,43.1
1967:05,129515.0,76773.0,59.2773,3.8,65620.0,56.6,104.1,43.4
1967:06,129722.0,77270.0,59.5658,3.9,65750.0,56.7,104.2,43.6
1967:07,129918.0,77464.0,59.6253,3.8,65888.0,56.8,104.5,43.5
1967:08,130187.0,77712.0,59.6926,3.8,66143.0,57.0,105.2,43.6
1967:09,130392.0,77812.0,59.6754,3.8,66164.0,57.0,104.4,43.9
1967:10,130582.0,78194.0,59.8811,4.0,66225.0,57.0,104.6,43.8
1967:11,130754.0,78191.0,59.8001,3.9,66703.0,57.7,106.5,44.1
1967:12,130936.0,78491.0,59.9461,3.8,66900.0,57.5,105.7,44.1
1968:01,131112.0,77578.0,59.1693,3.7,66804.0,57.2,104.3,44.0
1968:02,131277.0,78230.0,59.5916,3.8,67215.0,57.9,106.5,44.3
1968:03,131412.0,78256.0,59.5501,3.7,67295.0,57.8,106.3,44.3
1968:04,131553.0,78270.0,59.4969,3.5,67556.0,57.9,106.3,44.4
1968:05,131712.0,78847.0,59.8632,3.5,67652.0,58.1,107.5,44.4
1968:06,131872.0,79120.0,59.9976,3.7,67905.0,58.4,107.4,44.8
1968:07,132053.0,78970.0,59.8017,3.7,68126.0,58.5,107.5,45.0
1968:08,132251.0,78811.0,59.592,3.5,68330.0,58.6,107.1,45.0
1968:09,132446.0,78858.0,59.5397,3.4,68484.0,58.8,107.9,45.1
1968:10,132617.0,78913.0,59.5044,3.4,68721.0,59.0,108.2,45.3
1968:11,132903.0,79209.0,59.5991,3.4,68984.0,59.0,108.0,45.4
1968:12,133120.0,79463.0,59.6928,3.4,69248.0,59.2,108.5,45.5
1969:01,133324.0,79523.0,59.6464,3.4,69439.0,59.7,109.5,45.9
1969:02,133465.0,80019.0,59.955,3.4,69699.0,59.6,108.7,45.8
1969:03,133639.0,80079.0,59.9219,3.4,69905.0,60.0,109.8,46.1
1969:04,133821.0,80281.0,59.9913,3.4,70072.0,60.3,110.5,46.2
1969:05,134027.0,80125.0,59.7827,3.4,70328.0,60.3,110.1,46.5
1969:06,134213.0,80696.0,60.1253,3.5,70636.0,60.4,110.3,46.5
1969:07,134414.0,80827.0,60.1329,3.5,70729.0,60.5,110.0,46.7
1969:08,134597.0,81106.0,60.2584,3.5,71008.0,60.9,111.0,46.9
1969:09,134774.0,81290.0,60.3158,3.7,70914.0,60.6,110.1,46.9
1969:10,135012.0,81494.0,60.3606,3.7,71121.0,60.7,109.9,47.0
1969:11,135239.0,81397.0,60.1875,3.5,71086.0,60.7,109.1,47.2
1969:12,135489.0,81624.0,60.244,3.5,71241.0,60.8,109.2,47.1
1970:01,135713.0,81981.0,60.4076,3.9,71176.0,60.4,107.7,47.1
1970:02,135957.0,82151.0,60.4243,4.2,71305.0,60.4,107.5,47.2
1970:03,136179.0,82498.0,60.5806,4.4,71451.0,60.4,107.5,47.1
1970:04,136416.0,82727.0,60.6432,4.6,71348.0,59.8,105.9,46.9
1970:05,136686.0,82483.0,60.3449,4.8,71124.0,59.5,104.4,46.9
1970:06,136928.0,82484.0,60.239,4.9,71029.0,59.3,104.0,46.8
1970:07,137196.0,82901.0,60.4252,5.0,71053.0,59.5,104.2,47.0
1970:08,137455.0,82880.0,60.2961,5.1,70937.0,59.3,103.5,47.0
1970:09,137717.0,82954.0,60.2351,5.4,70944.0,59.0,102.2,47.0
1970:10,137988.0,83276.0,60.3502,5.5,70521.0,58.4,99.0,47.0
1970:11,138264.0,83548.0,60.4264,5.9,70409.0,58.2,98.6,46.8
1970:12,138529.0,83670.0,60.3989,6.1,70792.0,58.6,100.6,46.7
1971:01,138795.0,83850.0,60.4128,5.9,70865.0,58.7,101.1,46.9
1971:02,139021.0,83603.0,60.137,5.9,70807.0,58.4,100.0,46.9
1971:03,139285.0,83575.0,60.0029,6.0,70860.0,58.5,100.6,46.8
1971:04,139566.0,83946.0,60.1479,5.9,71036.0,58.8,101.1,47.0
1971:05,139826.0,84135.0,60.1712,5.9,71247.0,58.9,101.7,47.0
1971:06,140090.0,83706.0,59.7516,5.9,71254.0,59.0,101.3,47.2
1971:07,140343.0,84340.0,60.0956,6.0,71315.0,58.9,101.3,47.0
1971:08,140596.0,84673.0,60.2243,6.1,71373.0,58.9,101.0,47.3
1971:09,140869.0,84731.0,60.1488,6.0,71614.0,59.1,101.2,47.3
1971:10,141146.0,84872.0,60.1306,5.8,71642.0,59.2,101.4,47.4
1971:11,141393.0,85458.0,60.4401,6.0,71847.0,59.4,102.4,47.5
1971:12,141666.0,85625.0,60.4415,6.0,72109.0,59.8,102.2,47.9
1972:01,142736.0,85978.0,60.2357,5.8,72441.0,60.1,103.8,48.0
1972:02,143017.0,86036.0,60.1579,5.7,72648.0,60.4,104.2,48.2
1972:03,143263.0,86611.0,60.4559,5.8,72944.0,60.8,105.0,48.4
1972:04,143483.0,86614.0,60.3653,5.7,73162.0,60.9,105.3,48.6
1972:05,143760.0,86809.0,60.3847,5.7,73469.0,61.0,105.7,48.5
1972:06,144033.0,87006.0,60.407,5.7,73758.0,61.5,106.4,48.9
1972:07,144285.0,87143.0,60.3964,5.6,73709.0,61.1,105.4,48.8
1972:08,144522.0,87517.0,60.5562,5.6,74141.0,61.5,106.9,48.8
1972:09,144761.0,87392.0,60.3699,5.5,74264.0,61.8,107.1,49.1
1972:10,144988.0,87491.0,60.3436,5.6,74674.0,62.3,108.3,49.5
1972:11,145211.0,87592.0,60.3205,5.3,74973.0,62.4,108.3,49.6
1972:12,145446.0,87943.0,60.4644,5.2,75268.0,62.6,107.7,49.9
1973:01,145720.0,87487.0,60.0377,4.9,75617.0,63.0,108.8,50.1
1973:02,145943.0,88364.0,60.5469,5.0,76014.0,63.6,110.9,50.4
1973:03,146230.0,88846.0,60.7577,4.9,76284.0,64.0,111.7,50.6
1973:04,146459.0,89018.0,60.7802,5.0,76455.0,63.9,111.6,50.5
1973:05,146719.0,88977.0,60.6445,4.9,76648.0,64.0,112.2,50.6
1973:06,146981.0,89548.0,60.9249,4.9,76887.0,64.2,112.5,50.8
1973:07,147233.0,89604.0,60.8586,4.8,76913.0,64.2,112.7,50.8
1973:08,147471.0,89509.0,60.696,4.8,77168.0,64.3,112.4,50.9
1973:09,147731.0,89838.0,60.8119,4.8,77276.0,64.3,112.2,50.8
1973:10,147980.0,90131.0,60.9076,4.6,77607.0,64.4,112.6,51.0
1973:11,148219.0,90716.0,61.204,4.8,77920.0,65.0,113.8,51.2
1973:12,148479.0,90890.0,61.214,4.9,78031.0,64.8,113.5,51.2
1974:01,148753.0,91199.0,61.309,5.1,78100.0,64.5,112.2,51.2
1974:02,148982.0,91485.0,61.4067,5.2,78254.0,64.6,112.6,51.4
1974:03,149225.0,91453.0,61.2853,5.1,78296.0,64.6,112.0,51.4
1974:04,149478.0,91287.0,61.0705,5.1,78382.0,64.3,109.7,51.5
1974:05,149750.0,91596.0,61.1659,5.1,78549.0,64.8,111.4,51.6
