date,gdp,consumption_total,consumption_nondurables,consumption_durables,consumption_services,business_investment,residential_investment,inventory_change,government_total,government_federal,government_state_local,net_exports,exports,imports
1947:Q1,2182.7,1351.4,501.6,39.9,861.6,129.4,147.4,6.2,560.5,278.9,256.9,39.9,93.8,53.9
1947:Q2,2176.9,1373.9,510.2,40.8,874.1,127.4,140.0,-4.3,560.1,276.7,260.4,37.7,92.6,54.9
1947:Q3,2172.4,1378.4,512.5,41.4,872.3,125.0,161.4,-16.9,560.0,273.2,266.4,39.2,87.9,48.7
1947:Q4,2206.5,1378.8,505.8,44.0,867.7,128.5,192.5,-2.8,555.6,267.2,270.5,26.6,77.9,51.3
1948:Q1,2239.7,1385.7,507.5,43.8,877.0,136.0,190.0,14.1,563.9,273.9,269.9,16.5,74.4,57.9
1948:Q2,2276.7,1401.8,512.4,44.1,890.8,131.5,201.0,26.8,583.8,284.9,277.3,7.2,67.4,60.2
1948:Q3,2289.8,1403.9,509.3,44.9,895.5,131.8,194.6,31.3,596.1,291.5,282.0,5.7,69.0,63.3
1948:Q4,2292.4,1415.1,516.0,44.2,904.5,134.8,180.3,24.2,618.1,304.6,288.7,4.3,66.6,62.3
1949:Q1,2260.8,1417.4,518.0,43.4,910.2,128.6,167.0,-2.5,634.5,310.1,300.5,14.1,74.5,60.4
1949:Q2,2253.1,1439.1,519.4,47.2,914.8,123.9,164.2,-21.8,662.2,321.2,317.4,14.4,73.9,59.5
1949:Q3,2276.4,1442.3,514.9,49.4,912.9,118.2,178.3,-4.8,665.7,315.9,330.4,10.6,67.7,57.1
1949:Q4,2257.4,1463.5,523.3,51.4,915.6,116.7,200.0,-21.8,654.1,302.9,336.7,0.6,58.6,58.0
1950:Q1,2346.1,1487.9,530.0,53.4,927.0,120.1,222.3,9.2,642.0,288.5,345.0,-1.9,57.7,59.6
1950:Q2,2417.7,1512.4,536.2,53.8,950.5,130.1,243.7,13.4,653.8,295.8,347.9,-4.5,58.4,62.9
1950:Q3,2511.1,1590.0,545.4,66.6,965.2,140.9,257.0,17.5,643.3,287.3,348.2,-17.7,59.9,77.6
1950:Q4,2559.2,1542.1,533.3,58.3,971.4,140.7,245.0,56.2,688.7,323.0,348.3,-13.0,64.7,77.7
1951:Q1,2594.0,1579.4,543.1,60.2,998.0,137.0,232.3,34.9,762.0,382.8,344.9,-9.7,68.0,77.7
1951:Q2,2638.9,1534.7,535.2,51.5,1004.8,138.7,201.3,50.8,863.6,459.2,350.7,-0.4,74.7,75.1
1951:Q3,2693.3,1552.6,546.4,50.6,1017.3,140.3,188.6,33.5,958.4,533.5,352.5,7.7,76.5,68.8
1951:Q4,2699.2,1561.7,552.8,50.4,1019.9,138.0,190.4,14.4,1009.1,574.3,352.0,8.8,75.8,67.0
1952:Q1,2728.0,1565.3,548.2,50.7,1032.8,139.3,195.4,18.0,1039.0,597.8,352.9,5.0,79.8,74.8
1952:Q2,2733.8,1595.9,561.0,51.7,1048.6,141.5,199.0,-4.4,1074.4,621.4,360.4,-3.4,71.0,74.4
1952:Q3,2753.5,1603.6,570.9,48.7,1062.4,130.5,197.1,20.0,1085.2,636.8,350.7,-13.5,65.4,78.9
1952:Q4,2843.9,1660.2,579.2,57.0,1077.4,142.1,207.7,20.1,1103.3,645.9,358.7,-20.1,65.9,86.0
1953:Q1,2896.8,1679.7,582.8,59.0,1088.0,149.8,211.1,16.2,1138.3,668.9,366.4,-19.1,64.8,83.9
1953:Q2,2919.2,1689.8,585.5,58.6,1100.9,151.3,211.8,15.9,1161.6,688.1,365.7,-23.0,65.2,88.2
1953:Q3,2902.8,1685.8,580.1,58.3,1107.6,154.7,203.8,9.6,1149.3,671.5,375.4,-20.1,67.8,87.9
1953:Q4,2858.8,1674.4,581.0,56.6,1099.2,153.3,202.2,-8.3,1146.4,663.0,384.4,-18.1,65.5,83.6
1954:Q1,2845.2,1680.6,586.6,54.9,1109.5,149.2,204.4,-7.3,1116.7,629.8,398.1,-16.1,62.6,78.7
1954:Q2,2848.3,1702.4,585.0,57.5,1128.5,147.9,217.7,-11.8,1078.9,598.4,399.6,-14.2,71.6,85.8
1954:Q3,2880.5,1725.5,592.4,57.8,1148.1,151.7,231.0,-9.4,1055.5,572.2,410.7,-11.3,69.3,80.6
1954:Q4,2936.9,1761.7,602.4,61.3,1161.9,151.4,245.4,-3.5,1049.2,565.9,412.5,-8.9,72.5,81.4
1955:Q1,3020.7,1801.2,608.6,66.8,1175.5,154.1,263.5,14.0,1049.8,555.0,429.7,-11.0,75.2,86.2
1955:Q2,3069.9,1835.7,619.9,70.5,1184.1,163.2,267.3,20.7,1039.5,543.2,435.3,-17.7,73.4,91.1
1955:Q3,3111.4,1858.4,624.1,72.7,1196.2,171.3,261.6,18.9,1046.2,548.9,434.7,-14.4,78.2,92.6
1955:Q4,3130.1,1881.7,636.7,70.8,1220.0,176.4,250.6,26.0,1025.5,530.7,437.3,-17.4,78.6,96.0
1956:Q1,3117.9,1884.8,643.9,67.6,1231.8,174.3,244.2,21.9,1025.2,527.4,441.9,-17.7,82.3,100.0
1956:Q2,3143.7,1891.1,642.3,67.7,1243.6,177.4,242.9,15.2,1045.9,540.3,447.4,-11.6,87.9,99.5
1956:Q3,3140.9,1895.4,642.7,66.5,1256.7,179.2,238.3,11.8,1036.7,531.4,449.6,-9.6,90.8,100.4
1956:Q4,3192.6,1921.5,647.9,68.6,1273.2,179.2,234.8,10.5,1063.1,549.6,454.1,-0.9,94.9,95.8
1957:Q1,3213.0,1934.8,651.8,69.9,1278.1,180.1,231.6,5.7,1085.9,560.4,465.4,-2.4,101.0,103.4
1957:Q2,3206.0,1938.2,654.3,68.2,1289.1,179.8,226.1,8.1,1080.3,553.3,469.1,-6.2,98.0,104.2
1957:Q3,3237.4,1953.5,663.3,67.8,1298.5,183.4,223.1,11.9,1089.5,556.2,475.8,-6.9,95.3,102.2
1957:Q4,3203.9,1954.3,659.0,67.0,1312.6,179.2,222.8,-11.1,1107.4,562.8,487.6,-10.0,92.5,102.5
1958:Q1,3120.7,1927.3,653.1,62.5,1310.7,167.8,214.1,-13.9,1097.8,546.1,501.4,-20.7,83.3,104.0
1958:Q2,3141.2,1943.2,659.0,61.5,1329.9,161.6,214.8,-12.1,1125.2,563.3,508.4,-24.8,83.7,108.5
1958:Q3,3213.9,1975.5,671.0,62.8,1348.3,159.9,230.3,6.1,1131.6,561.4,519.2,-23.0,83.9,106.9
1958:Q4,3289.0,2002.3,680.3,65.1,1357.5,165.9,254.3,16.1,1154.5,573.6,528.3,-28.9,83.6,112.5
1959:Q1,3352.1,2039.0,689.1,68.7,1374.4,171.1,283.0,13.1,1142.7,562.2,531.4,-25.7,89.7,115.4
1959:Q2,3427.7,2070.5,694.8,71.2,1395.0,176.0,292.9,33.1,1156.7,572.6,532.6,-32.1,89.0,121.1
1959:Q3,3430.1,2092.1,697.5,72.6,1413.8,180.7,287.4,3.9,1166.6,580.3,532.9,-24.6,97.6,122.2
1959:Q4,3439.8,2094.5,701.8,69.2,1430.9,180.2,279.2,19.4,1157.1,574.5,530.1,-26.4,92.7,119.1
1960:Q1,3517.2,2114.5,703.5,71.4,1443.8,186.5,287.8,48.4,1137.4,552.9,539.0,-18.9,104.7,123.6
1960:Q2,3498.2,2141.2,711.2,73.0,1459.8,189.2,264.2,13.8,1150.2,554.2,552.5,-16.8,107.7,124.5
1960:Q3,3515.4,2132.6,707.1,72.4,1458.0,185.9,256.4,19.6,1178.3,571.3,560.7,-10.9,110.0,120.9
1960:Q4,3470.3,2135.4,707.6,70.6,1472.1,185.5,256.1,-22.8,1186.5,573.6,567.2,-4.6,110.6,115.2
1961:Q1,3493.7,2134.6,711.8,66.7,1486.6,182.8,257.1,-10.4,1204.1,575.5,585.5,-4.7,109.9,114.6
1961:Q2,3553.0,2166.4,721.3,68.1,1508.3,186.9,258.1,9.0,1207.2,580.6,581.5,-11.3,104.7,116.0
1961:Q3,3621.3,2176.9,721.8,69.8,1512.9,188.7,272.2,29.7,1233.0,598.1,586.4,-14.2,109.5,123.7
1961:Q4,3692.3,2220.7,731.7,73.2,1539.8,194.5,281.5,24.7,1260.1,609.2,602.1,-15.3,111.3,126.6
1962:Q1,3758.1,2244.2,737.7,74.7,1554.2,198.4,286.4,39.0,1284.4,631.9,597.8,-19.9,110.6,130.5
1962:Q2,3792.1,2271.8,740.7,76.7,1577.6,203.7,295.3,24.5,1290.9,634.4,601.8,-16.3,117.0,133.3
1962:Q3,3838.8,2290.1,746.4,77.3,1591.0,206.3,295.0,28.7,1320.8,653.5,609.3,-18.2,116.8,135.0
1962:Q4,3851.4,2322.5,750.6,80.7,1610.9,205.5,294.6,17.1,1329.9,656.5,615.6,-23.7,113.0,136.7
1963:Q1,3893.5,2338.8,754.7,82.3,1618.1,206.0,305.0,33.5,1311.9,634.3,626.9,-18.8,114.7,133.5
1963:Q2,3937.2,2360.9,757.3,84.1,1635.4,212.4,326.8,22.1,1312.9,631.5,632.2,-12.7,123.9,136.6
1963:Q3,4023.8,2392.9,764.2,85.1,1663.9,218.2,333.1,26.3,1371.2,667.2,649.0,-16.8,123.3,140.1
1963:Q4,4050.1,2412.8,763.3,86.5,1686.6,224.6,343.5,19.2,1357.0,649.8,657.6,-11.6,128.1,139.7
1964:Q1,4135.6,2460.2,776.3,89.8,1713.4,229.3,364.7,20.5,1361.3,646.7,667.4,-5.0,134.5,139.5
1964:Q2,4180.6,2503.7,791.1,92.2,1737.5,234.7,346.5,19.6,1373.5,646.3,682.6,-8.7,134.0,142.7
1964:Q3,4245.9,2550.0,806.6,95.2,1760.6,242.2,341.0,23.5,1375.2,642.7,689.9,-8.3,138.2,146.5
1964:Q4,4259.0,2557.2,808.2,92.3,1784.9,247.4,334.9,22.5,1374.6,637.4,697.1,-9.5,141.0,150.5
1965:Q1,4362.1,2614.3,815.9,100.9,1805.4,263.1,336.6,51.6,1373.0,632.0,703.4,-20.4,124.6,145.0
1965:Q2,4417.2,2643.1,823.7,101.1,1832.7,272.8,339.5,37.2,1389.3,633.0,721.2,-16.8,145.4,162.2
1965:Q3,4515.4,2688.5,836.0,104.5,1857.7,282.7,341.1,41.8,1435.4,656.5,741.5,-20.6,142.2,162.8
1965:Q4,4619.5,2764.1,867.0,108.9,1889.2,294.2,334.4,33.7,1462.5,671.1,752.2,-19.9,150.9,170.8
1966:Q1,4731.9,2804.9,873.3,114.1,1908.8,306.6,342.8,59.0,1489.8,687.1,761.1,-28.0,147.2,175.2
1966:Q2,4748.0,2812.1,881.6,109.5,1929.6,311.6,316.1,56.7,1517.9,705.9,766.9,-27.9,151.6,179.5
1966:Q3,4788.3,2844.2,887.9,113.1,1945.4,315.7,305.6,50.4,1559.3,733.4,775.8,-39.8,149.8,189.6
1966:Q4,4827.5,2856.0,885.5,113.1,1966.7,315.7,273.6,69.3,1586.2,741.6,795.6,-38.2,153.5,191.7
1967:Q1,4870.3,2872.5,895.4,110.9,1984.6,310.6,266.1,64.9,1653.2,789.7,805.3,-39.3,155.4,194.7
1967:Q2,4873.3,2911.8,902.1,115.7,2004.0,309.8,296.7,28.5,1646.4,781.0,809.6,-39.9,153.3,193.2
1967:Q3,4919.4,2926.7,901.2,114.8,2031.3,309.3,312.5,38.4,1664.7,793.9,812.6,-43.6,152.1,195.7
1967:Q4,4956.5,2944.6,905.3,115.1,2048.3,315.5,330.6,37.4,1677.3,794.4,826.7,-51.0,155.0,206.0
1968:Q1,5057.6,3015.2,923.1,122.2,2080.7,324.8,331.6,34.1,1707.3,808.3,841.9,-58.9,159.3,218.2
1968:Q2,5142.0,3061.1,934.5,124.8,2113.0,320.8,339.7,59.8,1716.1,803.9,858.4,-59.5,162.0,221.5
1968:Q3,5181.9,3118.4,949.4,130.4,2140.0,325.2,346.5,32.6,1721.2,799.3,870.8,-61.3,173.5,234.8
1968:Q4,5202.2,3132.5,949.6,129.7,2163.5,334.1,351.3,27.1,1722.7,795.4,878.1,-63.2,169.6,232.8
1969:Q1,5283.6,3167.2,960.1,132.1,2182.3,342.6,363.1,45.5,1726.6,792.8,886.1,-61.0,149.9,210.9
1969:Q2,5299.6,3187.7,962.2,131.8,2209.3,346.4,359.7,38.0,1721.2,782.9,893.6,-69.7,182.8,252.5
1969:Q3,5334.6,3203.2,965.8,131.4,2227.1,354.3,356.9,43.9,1724.6,784.3,895.6,-69.5,179.7,249.2
1969:Q4,5308.6,3228.8,972.3,130.9,2254.8,352.4,332.3,23.8,1701.4,766.5,893.6,-62.1,184.4,246.5
1970:Q1,5300.7,3248.9,980.6,128.9,2279.1,349.9,332.5,4.3,1693.2,753.5,902.2,-58.8,186.8,245.7
1970:Q2,5308.2,3263.6,980.0,130.4,2293.3,347.6,312.2,20.1,1673.5,733.7,907.1,-56.4,194.1,250.5
1970:Q3,5357.1,3292.2,987.1,130.8,2319.3,348.8,330.2,20.3,1680.5,724.6,927.8,-55.1,194.9,249.9
1970:Q4,5299.7,3283.2,998.6,122.1,2331.1,336.9,363.5,-16.8,1681.3,721.9,932.5,-58.5,195.3,253.8
1971:Q1,5443.6,3346.3,1002.7,135.3,2347.2,339.7,382.3,47.7,1656.7,698.7,936.4,-53.8,197.0,250.8
1971:Q2,5473.1,3377.0,1005.0,138.3,2371.0,344.3,419.0,40.6,1652.9,690.5,943.3,-74.1,195.6,269.7
1971:Q3,5518.1,3403.9,1002.9,142.0,2393.3,345.8,438.3,38.6,1652.0,687.5,946.5,-70.3,205.4,275.7
1971:Q4,5531.0,3460.4,1009.7,148.1,2430.8,352.9,455.2,-2.2,1640.3,669.4,958.4,-70.6,186.4,257.0
1972:Q1,5632.6,3506.1,1013.1,151.5,2471.8,364.1,484.9,13.9,1649.3,674.9,961.0,-87.0,207.6,294.6
1972:Q2,5760.5,3572.8,1040.4,155.3,2501.6,370.1,494.0,45.6,1655.9,681.4,959.4,-82.6,201.5,284.1
1972:Q3,5814.9,3627.9,1054.8,159.3,2535.4,375.5,496.2,48.8,1624.3,650.2,967.1,-76.3,213.7,290.0
1972:Q4,5912.2,3713.0,1074.7,167.7,2580.7,393.5,513.8,19.6,1637.8,651.9,980.4,-80.4,222.7,303.1
1973:Q1,6058.5,3780.8,1081.2,178.4,2613.8,410.0,530.9,32.2,1651.9,660.3,984.9,-78.1,239.0,317.1
1973:Q2,6124.5,3779.1,1072.0,176.3,2636.0,425.2,503.4,62.9,1640.2,649.7,986.5,-57.4,250.5,308.0
1973:Q3,6092.3,3792.4,1077.1,174.7,2653.4,431.8,481.8,30.0,1620.9,626.7,996.8,-48.1,251.4,299.4
1973:Q4,6150.1,3781.1,1072.8,170.6,2663.1,435.0,460.0,69.6,1633.1,628.1,1008.9,-37.9,263.7,301.7
1974:Q1,6097.3,3747.3,1058.4,166.6,2658.2,434.6,430.1,33.9,1662.6,643.2,1021.7,-24.3,267.2,291.4
1974:Q2,6111.8,3760.8,1051.4,167.5,2684.9,433.8,412.7,44.5,1670.9,641.0,1034.3,-26.7,280.2,306.9
1974:Q3,6054.0,3776.9,1053.7,168.5,2699.1,429.4,398.9,14.2,1674.3,645.1,1032.4,-36.4,265.1,301.5
1974:Q4,6030.5,3721.7,1034.9,152.5,2726.8,418.1,346.9,52.5,1682.3,651.5,1032.8,-26.5,272.0,298.5
1975:Q1,5957.0,3752.9,1036.9,155.7,2752.2,394.2,327.4,-21.2,1700.6,644.7,1063.3,5.3,273.9,268.6
1975:Q2,5999.6,3814.7,1059.8,158.8,2785.2,384.8,336.6,-37.1,1686.2,638.3,1055.7,18.8,265.9,247.1
1975:Q3,6102.3,3868.9,1070.2,168.7,2798.3,388.9,358.8,-5.9,1717.7,654.7,1069.2,-6.2,261.4,267.6
1975:Q4,6184.5,3910.5,1067.6,173.6,2838.6,393.5,374.1,0.4,1732.8,656.9,1083.5,-5.7,276.2,281.9
1976:Q1,6323.6,3988.7,1089.2,182.2,2871.7,401.9,409.6,39.2,1735.5,650.4,1095.7,-25.2,274.3,299.5
1976:Q2,6370.0,4025.4,1106.0,183.1,2890.7,407.3,419.7,59.0,1716.2,648.2,1076.5,-35.4,277.1,312.5
1976:Q3,6404.9,4067.8,1114.4,185.1,2925.7,416.2,413.2,53.3,1711.1,649.1,1069.3,-40.2,285.1,325.3
1976:Q4,6451.2,4120.5,1126.2,188.1,2965.8,424.2,463.2,19.5,1710.1,650.5,1066.1,-48.1,288.0,336.2
1977:Q1,6527.7,4169.1,1125.4,195.2,3002.2,439.7,477.0,33.1,1724.6,655.0,1076.7,-68.5,283.4,351.9
1977:Q2,6654.5,4191.7,1125.3,199.8,3013.2,451.8,529.3,49.5,1740.4,663.3,1083.3,-64.2,291.0,355.2
1977:Q3,6774.5,4231.3,1130.9,202.7,3045.4,460.8,527.7,86.8,1747.4,669.9,1082.2,-57.0,293.3,350.3
1977:Q4,6774.6,4295.0,1155.2,207.0,3074.3,474.9,521.5,45.7,1743.2,665.3,1083.8,-71.4,283.9,355.3
1978:Q1,6796.3,4319.1,1160.1,201.5,3122.3,479.0,526.3,54.4,1743.7,665.8,1083.6,-88.5,290.6,379.1
1978:Q2,7058.9,4411.4,1169.1,216.5,3169.3,516.1,551.5,53.5,1787.4,678.7,1116.2,-59.4,320.9,380.3
1978:Q3,7129.9,4430.0,1178.1,213.6,3192.1,533.7,557.9,54.5,1803.9,683.1,1129.0,-60.8,324.4,385.2
1978:Q4,7225.8,4465.7,1193.3,215.3,3208.9,550.9,556.8,64.8,1820.1,688.9,1139.7,-53.2,337.3,390.5
1979:Q1,7238.7,4488.8,1198.6,212.8,3242.4,563.6,543.3,49.0,1802.2,687.8,1120.4,-51.9,337.5,389.5
1979:Q2,7246.5,4485.9,1196.3,207.9,3262.3,563.0,533.7,55.5,1819.7,694.8,1130.9,-53.2,338.4,391.6
1979:Q3,7300.3,4529.6,1210.3,213.7,3274.5,579.7,527.2,20.4,1825.0,696.4,1134.8,-35.0,350.6,385.6
1979:Q4,7318.5,4540.8,1216.7,208.2,3301.9,581.3,506.1,14.7,1837.0,697.2,1147.5,-21.3,372.7,394.0
1980:Q1,7341.6,4534.3,1216.1,205.0,3307.5,587.6,467.2,16.3,1864.0,715.8,1152.9,-11.2,383.1,394.3
1980:Q2,7190.3,4432.2,1199.6,182.8,3286.7,560.4,380.6,13.9,1867.7,729.9,1137.6,24.6,390.3,365.6
1980:Q3,7181.7,4480.8,1196.7,191.0,3324.6,564.1,392.2,-59.9,1842.2,721.5,1120.0,50.1,389.5,339.3
1980:Q4,7315.7,4541.4,1201.4,196.8,3375.3,575.9,428.8,-17.0,1841.8,725.2,1114.5,29.6,387.1,357.5
1981:Q1,7459.0,4556.6,1212.0,202.4,3356.0,587.6,418.3,69.2,1866.5,739.4,1123.2,21.6,394.4,372.8
1981:Q2,7403.7,4556.9,1217.4,194.5,3378.9,599.5,405.0,17.4,1870.1,758.4,1101.8,23.2,396.5,373.3
1981:Q3,7492.4,4578.0,1220.1,200.4,3379.4,613.5,373.6,71.4,1863.6,755.3,1098.6,19.0,388.1,369.1
1981:Q4,7410.8,4546.7,1224.7,186.0,3386.6,627.8,334.6,36.3,1887.3,768.8,1107.2,10.2,389.8,379.6
1982:Q1,7295.6,4580.2,1227.0,192.0,3404.4,614.6,315.3,-34.1,1885.2,769.3,1104.1,4.1,372.9,368.8
1982:Q2,7328.9,4594.1,1224.9,192.7,3423.5,595.5,305.1,-6.7,1892.4,772.5,1107.9,12.4,375.1,362.8
1982:Q3,7300.9,4624.9,1230.1,194.2,3449.9,578.4,304.8,7.5,1907.5,785.2,1108.0,-21.1,358.5,379.6
1982:Q4,7303.8,4706.0,1242.7,203.1,3503.3,568.4,328.9,-65.1,1936.9,803.7,1116.4,-22.6,342.1,364.7
1983:Q1,7400.1,4752.5,1246.8,205.1,3549.9,559.9,385.5,-60.7,1955.6,816.4,1120.4,-25.4,347.6,373.0
1983:Q2,7568.5,4849.3,1261.4,220.1,3598.2,567.7,430.4,-9.5,1971.7,831.6,1118.2,-53.1,348.6,401.7
1983:Q3,7719.7,4936.2,1280.6,228.6,3651.3,591.6,472.4,-3.3,2005.7,853.1,1127.9,-79.1,353.9,433.0
1983:Q4,7880.8,5014.9,1296.2,239.8,3689.0,627.3,492.3,34.5,1973.6,825.5,1128.6,-93.3,361.0,454.3
1984:Q1,8034.8,5056.5,1299.5,248.9,3705.4,647.3,507.1,109.7,1994.5,832.5,1142.9,-122.2,368.5,490.8
1984:Q2,8173.7,5127.3,1327.9,254.7,3734.6,677.5,516.0,103.2,2037.8,857.7,1158.1,-133.6,377.7,511.3
1984:Q3,8252.5,5165.4,1328.9,254.7,3781.4,698.2,509.9,107.7,2054.3,857.0,1177.9,-138.5,386.0,524.6
1984:Q4,8320.2,5232.3,1339.2,263.0,3823.0,714.7,510.4,67.8,2097.4,884.4,1189.9,-146.1,393.9,539.9
1985:Q1,8400.8,5321.2,1347.3,272.2,3892.3,722.7,511.6,21.0,2120.3,892.5,1204.9,-133.1,394.9,528.0
1985:Q2,8474.8,5370.0,1357.9,275.4,3928.1,733.0,516.0,30.7,2167.3,916.0,1226.7,-159.9,394.1,554.0
1985:Q3,8604.2,5472.0,1369.0,293.0,3981.0,724.7,525.6,25.8,2216.7,943.3,1246.2,-160.3,388.3,548.6
1985:Q4,8668.2,5483.9,1381.2,282.9,4012.8,737.8,537.0,47.5,2225.9,943.8,1255.7,-170.2,399.9,570.1
1986:Q1,8749.1,5531.8,1398.7,288.7,4029.4,730.5,558.8,42.2,2243.5,941.2,1278.8,-157.1,412.5,569.5
1986:Q2,8788.5,5592.1,1411.2,298.9,4053.7,715.7,590.9,20.5,2290.2,971.7,1291.3,-176.9,416.9,593.8
1986:Q3,8872.6,5691.0,1414.1,324.4,4087.6,707.5,599.0,-11.8,2340.1,1005.3,1303.3,-183.8,426.4,610.2
1986:Q4,8920.2,5725.8,1425.6,319.3,4132.4,714.3,600.6,-10.0,2330.4,993.6,1307.7,-172.6,442.4,615.0
1987:Q1,8986.4,5731.2,1427.5,300.3,4199.2,697.4,599.6,45.4,2344.1,1000.0,1314.6,-168.6,442.8,611.3
1987:Q2,9083.3,5809.4,1438.4,312.6,4240.6,711.5,601.7,25.5,2362.3,1013.6,1317.5,-165.6,461.0,626.6
1987:Q3,9162.0,5875.6,1439.6,325.6,4278.5,731.2,596.7,-2.2,2364.8,1012.2,1322.0,-157.8,481.0,638.9
